text,label
"El café estaba riquísimo y la atención de 10.",pos
"Las muffins estaban frescas y muy sabrosas.",pos
"Me encantó el ambiente y el aroma del café.",pos
"Excelente atención, rápido y muy amable.",pos
"El cappuccino estuvo perfecto, volveré pronto.",pos
"Los precios son buenos y la calidad excelente.",pos
"El lugar es muy cómodo para trabajar.",pos
"La trufa estaba increíblemente rica.",pos
"Todo llegó rápido y bien preparado.",pos
"La atención fue muy cálida y respetuosa.",pos
"El café estaba frío y sin sabor.",neg
"Tardaron demasiado en atenderme.",neg
"Me sirvieron mal el pedido, decepcionado.",neg
"Los precios son altos para lo que ofrecen.",neg
"El muffin estaba duro y viejo.",neg
"La atención fue muy mala y poco profesional.",neg
"El latte tenía gusto raro.",neg
"La mesa estaba sucia cuando llegué.",neg
"El pedido llegó incompleto.",neg
"No vuelvo, mala experiencia.",neg
"Delicioso café, uno de los mejores que probé.",pos
"Gran atención, se nota la dedicación.",pos
"Todo impecable, súper recomendado.",pos
"Rico café y buena presentación.",pos
"El barista fue muy amable y explicó todo.",pos
"La cookie estaba espectacular.",pos
"No me gustó el sabor, demasiado amargo.",neg
"El pedido llegó frío.",neg
"La experiencia no fue buena.",neg
"Mala relación precio-calidad.",neg
"No tienen variedad de productos.",neg
"La atención es muy lenta.",neg
"Demasiado caro para lo que ofrecen.",neg
"Mala preparación del café.",neg
"El producto no coincide con la foto.",neg
"Excelente sabor y atención perfecta.",pos
"Me sentí muy bien atendido, gracias.",pos
"Todo muy rico y el lugar muy limpio.",pos
"Ambiente agradable y buena música.",pos
"Muy buena calidad en todo.",pos
